	miRNA	Genesymbol
2920	hsa-miR-331-3p	PBX1
2922	hsa-miR-4749-3p	PBX1
2928	hsa-miR-219-2-3p	LIFR
2946	hsa-miR-4763-5p	CRTC3
2949	hsa-miR-1470	KLK2
2951	hsa-miR-4469	KLK2
2966	hsa-miR-4289	BCL11B
2967	hsa-miR-489	BCL11B
2968	hsa-miR-542-3p	BCL11B
2972	hsa-miR-5680	MYO5A
2975	hsa-miR-4420	ATRX
2976	hsa-miR-570-3p	ATRX
2999	hsa-miR-1286	SPEN
3001	hsa-miR-5000-3p	SPEN
3006	hsa-miR-5006-5p	SDHAF2
3007	hsa-miR-5187-3p	SH2B3
3008	hsa-miR-4695-5p	NTRK3
3010	hsa-miR-765	NTRK3
3011	hsa-miR-3146	STRN
3012	hsa-miR-3124-3p	PBX1
3013	hsa-miR-548d-3p	PBX1
3018	hsa-miR-16-2-3p	MAP3K13
3019	hsa-miR-195-3p	MAP3K13
3020	hsa-miR-4517	MAP3K13
