miR Family	Gene Symbol
let-7/98/4458/4500	PCP4L1
let-7/98/4458/4500	PCYT1B
let-7/98/4458/4500	PDE12
let-7/98/4458/4500	PDGFB
let-7/98/4458/4500	PDP2
let-7/98/4458/4500	PDPK1
let-7/98/4458/4500	PDPR
let-7/98/4458/4500	PEAK1
let-7/98/4458/4500	PEG10
let-7/98/4458/4500	PEX11B
let-7/98/4458/4500	PGM2L1
let-7/98/4458/4500	PGRMC1
let-7/98/4458/4500	PHACTR2
let-7/98/4458/4500	PHC3
let-7/98/4458/4500	PHF8
let-7/98/4458/4500	PHOSPHO2-KLHL23
let-7/98/4458/4500	PIGA
let-7/98/4458/4500	PIK3IP1
let-7/98/4458/4500	PIM2
let-7/98/4458/4500	PITPNM3
let-7/98/4458/4500	PKIA
let-7/98/4458/4500	PL-5283
let-7/98/4458/4500	PLA2G15
let-7/98/4458/4500	PLA2G3
let-7/98/4458/4500	PLAGL2
let-7/98/4458/4500	PLB1
let-7/98/4458/4500	PLCXD3
let-7/98/4458/4500	PLD3
let-7/98/4458/4500	PLD5
let-7/98/4458/4500	PLDN
let-7/98/4458/4500	PLEKHA8
let-7/98/4458/4500	PLEKHG6
let-7/98/4458/4500	PLEKHG7
let-7/98/4458/4500	PLEKHH1
let-7/98/4458/4500	PLEKHO1
let-7/98/4458/4500	PLXNA4
let-7/98/4458/4500	PLXNC1
let-7/98/4458/4500	PLXND1
let-7/98/4458/4500	PM20D2
let-7/98/4458/4500	PMAIP1
let-7/98/4458/4500	PNKD
let-7/98/4458/4500	POC1B-GALNT4
let-7/98/4458/4500	POGLUT1
let-7/98/4458/4500	POGZ
let-7/98/4458/4500	POLL
let-7/98/4458/4500	POLR2D
let-7/98/4458/4500	POLR2J3
let-7/98/4458/4500	POLR3D
let-7/98/4458/4500	POTEM
let-7/98/4458/4500	POU2F1
let-7/98/4458/4500	POU2F2
let-7/98/4458/4500	PPAPDC1B
