	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
BMP5														36.0															
BMP7														22.0	40.0														
BMP8A										8.0																			
BMP8B																									74.0				
BMPER			17.0						11.0					26.0	18.0														
BMPR1A															16.0														
BMPR1B							40.0								57.0	84.0													
BNC1															23.0														
BNC2								14.0						10.0	23.0														
BNIP2														9.0	12.0														
BNIP3L								28.0							14.0														
BOC									3.0																				
BOD1L1															36.0														
BOK															25.0														
BOLA1																									9.0				
BPIFA3															36.0														
BPIFB4														41.0															
BPNT1																									77.0				
BPTF											30.0														26.0				
BRAF														5.0															
BRAP				12.0										30.0															
BRD3									28.0					40.0															
BRD4														40.0															
BRD8															14.0														
BRI3BP														13.0															
BRIP1												7.0																	
BRMS1L														6.0															
BRSK1																							10.0						
BRSK2														132.0															
BRWD1									8.0					12.0	57.0	20.0													54.0
BRWD3			15.0						18.0																				
BSDC1								128.0							56.0														104.0
BSN									13.0					26.0															
BSPRY														11.0													25.0		
BST1														27.0				11.0											
BST2														47.0															
BTAF1																								13.0					
BTBD1															36.0														
BTBD11									6.0																				
BTBD17																			24.0										
BTBD18															11.0														
BTBD7			6.0											12.0	14.0														
BTC																									2.0				
BTF3															16.0														
BTF3L4															159.0										57.0				
BTG1															101.0														
BTG2															14.0														
BTG3														40.0															
BTK										12.0																			
BTLA														28.0															
BTN2A1		34.0													21.0														125.0
BTN2A2		25.0		59.0											84.0														107.0
BTN3A1																74.0									168.0				
BTN3A2														55.0										76.0					
BTNL3														22.0															
BTNL8																													32.0
BTNL9			20.0																										
BTRC														84.0															
BUB1															16.0														
BVES															81.0														
BZW2												24.0		32.0															
C10orf10														31.0															
C10orf105														12.0															
C10orf111																									60.0				
C10orf113																													23.0
C10orf118															9.0	19.0									20.0				
C10orf131									22.0																				
C10orf2														82.0															
C10orf25																		37.0											
C10orf32															9.0														
C10orf53															25.0														
C10orf54														51.0	27.0														
C10orf67														16.0															
C10orf71														16.0															7.0
C10orf76																									14.0				
C10orf82										23.0																			
C10orf90															14.0														
C10orf99																												30.0	
C11orf24																28.0													
C11orf30														13.0															
C11orf41									17.0																				
C11orf49		15.0	10.0						17.0					51.0															22.0
C11orf54																									60.0				
C11orf57														69.0	33.0														
C11orf63																									22.0				
