	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
C3orf62														1											45				
C3orf70									16																42				
C3orf71									9																				
C3orf72																									22				
C3orf80														22										13					
C4BPA														5															
C4orf26																									123				
C4orf29														10											12				
C4orf3																									32				
C4orf32															4														
C4orf40															7										9				
C5														4															
C5AR1																									53				
C5orf20																		40											
C5orf22															16														
C5orf24															36										60				
C5orf28																									67				
C5orf38																													3
C5orf46															4														
C5orf51			13											5	6														
C5orf60																									26				
C5orf64															30														
C6															20														
C6orf106															8	20													
C6orf118										8				6															
C6orf120														10															14
C6orf132															8										16				
C6orf170																									12				
C6orf223		5							32					22															
C6orf25		7												96															
C6orf47														3								5							
C6orf58														3															
C6orf89																						16							
C7																									28				
C7orf25															2														
C7orf41														12	1														
C7orf43															4														
C7orf49														7															
C7orf50																									39				
C7orf60														6															
C7orf65															11										10				
C7orf73																								3					
C8A														1															
C8B														5					13										
C8orf22															33														
C8orf33															8			7											
C8orf4														4															
C8orf44															5										6				
C8orf46														9				4											
C8orf82														8															
C8orf86																									58				
C9														6	7														
C9orf114														12	10														3
C9orf123														33					2										
C9orf139																									27				
C9orf150	5																												
C9orf152																									4				
C9orf16														21															
C9orf170								16	9																				
C9orf171														14															
C9orf24																													52
C9orf40															6														
C9orf47															18				22										
C9orf66			3																						7				
C9orf68																		2											
C9orf72														10															
C9orf85																									49				
C9orf91				20																					45				
C9orf96														9															
CA12														4	18										48				
CA13															17										16				
CA5B									8					8	5										7				
CAB39															3														
CAB39L																									18				
CABLES1															9														24
CABLES2															18														
CABP1														102															
CABP5															12														
CABP7														11															
CABS1														8															
CABYR																													44
CACFD1														44															
CACHD1														11	4														
CACNA1A														102															18
CACNA1B															20														11
CACNA1C			276											92	115	391													
CACNA1E															51														
CACNA1I															34														
CACNA2D2									39																				
CACNB2																									405				
CACNB4									60						44														
CACNG2														8															
CACNG3																			11										
CACNG4			8																										
CACNG7									6																				
CACNG8															10										66				
CACUL1														1		1									9				
CADM1									8						16														
CADM2									63					21	112														
CADM3															26														
CADPS														21															
CADPS2				12										63															
CALB2														36															
CALCOCO1																													20
CALCOCO2																									12				
CALCR																9			15										
CALCRL														20															
CALD1														50	80														
CALHM1									29																				
CALHM2														2															9
CALM1															14														
CALM2															8														
CALML3														16															
CALML4															18														
CALN1									70						54										42		6		
CALU										5				25	9	36									115				6
CAMK1D														6											87				
CAMK1G															51														
CAMK2A															2														
CAMK2B														14															
CAMK2G			144																										
CAMKK2														40	35														
CAMKMT														23															
CAMLG																									25				
CAMSAP1															34														
CAMSAP2															1														
CAMTA1																									6				
CAND1															23														
CANT1														72															
CANX																		12											
CAP2			5												11														
CAPN1														69															
CAPN5														31															
CAPN6														9															
CAPN7														3	5														
CAPRIN2														40															56
CAPZA1														1															
CAPZA2														5										19					
CARD10			1																										
CARD14															5														
CARD16																													5
CARD8																									130				
CARD9								14																					
CARHSP1																			16						52				
CARS																													20
CARTPT														15															
CASKIN1														6															
CASP1														59															
CASP10																									88				22
CASP2														32	33														79
CASP3									34																				
CASP6																									22				
CASP7									12																				
CASP8															20														
CASS4																									76				
CAST														12	12														
CASZ1														7															
CAT														12															
CAV1			32																								52		
CAV2																									56				
CBFA2T2																									111				
CBFA2T3																16													
CBL														5	5										21				
CBLL1																													5
CBLN1															7														
CBLN2																									4				
CBLN3									8																				
CBLN4				7																									
CBR4														1	4														
CBX2															11														
CBX5								93						27	66	18		21							123				
CC2D1B									10					11											19				
CC2D2A														9											70				
CCAR1														14															
CCBL1														36															
CCBL2																18													
CCDC102A														13															
CCDC106														9															
CCDC107														4															8
CCDC108															1	11													
CCDC113		18		20										16											8				40
CCDC114														10															
CCDC115																									28				
CCDC117														15											22				
CCDC120																									20				
CCDC124												36																	
CCDC125														9											81				
CCDC140														2															
CCDC141																									7				
CCDC144A																													
