	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
BTN2A1		16.0													9.0														72.0
BTN2A2		15.0		28.0											48.0														47.0
BTN3A1																44.0									92.0				
BTN3A2														15.0										36.0					
BTNL3														3.0															
BTNL8																													20.0
BTNL9			13.0																										
BTRC														39.0															
BUB1															10.0														
BVES															39.0														
BZW2												4.0		6.0															
C10orf10														18.0															
C10orf105														10.0															
C10orf111																									33.0				
C10orf113																													7.0
C10orf118															8.0	6.0									13.0				
C10orf131									15.0																				
C10orf2														60.0															
C10orf25																		27.0											
C10orf32															3.0														
C10orf53															13.0														
C10orf54														27.0	14.0														
C10orf67														10.0															
C10orf71														11.0															
C10orf76																									9.0				
C10orf82										12.0																			
C10orf90															5.0														
C10orf99																												12.0	
C11orf24																18.0													
C11orf30														12.0															
C11orf41									7.0																				
C11orf49		2.0	3.0						9.0					27.0															17.0
C11orf54																									38.0				
C11orf57														33.0	18.0														
C11orf63																									14.0				
C11orf68															8.0														
C11orf70									5.0																29.0				9.0
C11orf73																													3.0
C11orf80														11.0															
C11orf83															16.0										23.0				
C11orf84														2.0															
C11orf86															10.0														
C11orf87				11.0					4.0					3.0	23.0														
C11orf91														10.0															
C11orf95															10.0														
C12orf23														1.0	7.0														
C12orf4															6.0														
C12orf43																									7.0				
C12orf44														76.0															
C12orf5															10.0														
C12orf56														8.0															
C12orf65														69.0															
C12orf68														4.0															
C12orf74														6.0															
C14orf1														25.0															
C14orf119															3.0										28.0				
C14orf182								10.0																					
C14orf28												13.0			35.0										5.0				
C14orf93			72.0																										
C15orf2																5.0													
C15orf32														13.0															
C15orf38																									10.0				
C15orf38-AP3S2																									21.0				
C15orf40																									5.0				
C15orf41														10.0															
C15orf48															18.0														
C15orf52														37.0											13.0				
C15orf57																		3.0											
C15orf62								21.0						11.0															
C16orf52														6.0											5.0				
C16orf54																									9.0				
C16orf55														24.0															
C16orf58			12.0											10.0															4.0
C16orf70														12.0															
C16orf72															13.0														
C16orf80																						1.0							
C16orf89																													34.0
C16orf95														30.0															
C17orf101									8.0																				
C17orf102														9.0															
C17orf103																									5.0				
C17orf107						9.0																							18.0
C17orf49																													2.0
C17orf51														3.0															
C17orf58										11.0																			11.0
C17orf62														56.0															84.0
C17orf72														64.0															44.0
C17orf77																									16.0				
C17orf78															13.0														
C17orf85														4.0															
C17orf89															7.0														
C17orf99									11.0																				
C18orf1																78.0													
C18orf25														12.0															
C18orf32														18.0															
C18orf63									7.0					4.0															
C19orf12															76.0														
C19orf18															10.0														
C19orf26														7.0															
C19orf40														2.0											36.0				
C19orf44		11.0												10.0	14.0														41.0
C19orf47														28.0															
C19orf48														16.0															
C19orf54			6.0																						20.0				
C19orf66											8.0																		7.0
C1GALT1														11.0											9.0				
C1QA														11.0															3.0
C1QBP														7.0															
C1QTNF1														45.0	42.0														
C1QTNF3															14.0														
C1QTNF5														16.0															
C1QTNF6																									27.0				
C1QTNF8			6.0																										
C1QTNF9																									10.0				
C1R														4.0															
C1RL															7.0														
C1S														10.0															
C1orf101																													38.0
C1orf105														6.0															
C1orf106																									20.0				
C1orf110																												4.0	
C1orf115														6.0															
C1orf116															36.0	32.0													
C1orf122														42.0															
C1orf130																4.0													
C1orf131															7.0														
C1orf158														12.0															
C1orf168														10.0	13.0														
C1orf173														2.0	5.0														
C1orf177														10.0															
C1orf187											11.0																		
C1orf190			15.0																										
C1orf192				10.0																									
C1orf204														7.0															
C1orf21								13.0	19.0						13.0			6.0		13.0				12.0					
C1orf210																									24.0				
C1orf216																13.0													
C1orf229																									4.0				
C1orf233					8.0									4.0															
C1orf27															24.0														
C1orf31																		8.0											
