	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-188-5p		2		1				4	5					33	24	1		1	2						15	2			3
hsa-miR-18a-3p		1	16					2	10	2				34	16								2	4			1		5
hsa-miR-18a-5p		1	1					16		11		1	2	33	35	3		1			1			7			1		11
hsa-miR-18b-3p			2	2					6	2				31	14			3							1		4		4
hsa-miR-18b-5p		1	1					16		11		1	2	33	35	3		1			1			7			1		11
hsa-miR-1908														23	4	3			2		1				23				1
hsa-miR-1909-3p			7					2	24	3				30	37	5		5	5		1			14	1				1
hsa-miR-1909-5p			3		18			5	4	2	1	1		19	27	5		1				4			88	1	1		11
hsa-miR-190a			2					4	19	1			2	24	56	2		6				1		4	5				44
hsa-miR-190b			2					4	19	1			2	24	56	2		6				1		4	5				44
hsa-miR-191-3p			2	1				2		1	1			14	12														5
hsa-miR-191-5p								1				5		27	22			3							1				4
hsa-miR-1910			2					1	1	2				31	14	3				1			2		6			1	4
hsa-miR-1911-3p			5					3	10	2			2	20	24	8		3				2	1		158				5
hsa-miR-1911-5p			3	5				7	3		1			25	28	6									9			2	1
hsa-miR-1912			16		1				6		2		9	25	30				4					1	53			1	10
hsa-miR-1913			9					3	7		1			18	12	1			3				2		1				4
hsa-miR-1914-3p			5	3		1		9	7	3				41	22	14		2						4	1				7
hsa-miR-1914-5p		4	7	3	6			5	5				1	25	17	4					1				13		3	1	16
hsa-miR-1915-3p			10	2					5	2				48	17	1			7				2		112				5
hsa-miR-1915-5p	4	1	2					4					1	20	13	1			1						5				4
hsa-miR-192-3p	1	3	20	4				4	2	12		2		17	17	6		1					1	4	6				13
hsa-miR-192-5p								3	4				1	20	45	2	1	2							47		1		3
hsa-miR-193a-3p				2				6	5				4	33	13	1			3			1	4	2	43		3		12
hsa-miR-193a-5p			6						6	1				36	16	2		2	1					2	15				11
hsa-miR-193b-3p				2				6	5				4	33	13	1			3			1	4	2	43		3		12
hsa-miR-193b-5p				2				1	4		4			15	20	2			2	1					81	4	1		
hsa-miR-194-3p			1					4		3		2		46	22	41		2						1	50			1	9
hsa-miR-194-5p		1	6						6					26	40	5			4	3			4	1	13		1		2
hsa-miR-195-3p	1		3					14	4	6		9		41	33			4	2						3				26
hsa-miR-195-5p	6	2	5	3				6	2	9				42	32			8	4		1		1		12				11
